price,os,new,model_cpu,core,frequency_ghz,socket,ram_gb,ram_type,ram_ghz,model_gpu,vram_gb,storage_gb,mother_board,power_supply,estimation,link,general_score
51299,без ос,yes,intel core i5-12400,6.0,4400.0,lga 1700,16.0,ddr4,3200.0,intel uhd graphics 730,0.0,500.0,intel h610,350.0,Нормальная,https://www.dns-shop.ru/product/1d8550133067d9cb/pk-dexp-atlas-h531/,18.0
89499,без ос,yes,intel core i3-13100f,4.0,4500.0,lga 1700,32.0,ddr5,6000.0,geforce rtx 3060,12.0,1024.0,intel b760,500.0,Хорошая,https://www.dns-shop.ru/product/518c382857a9d582/pk-ardor-gaming-neo-m202/,30.3
171999,без ос,yes,amd ryzen 5 7500f,6.0,5000.0,am5,32.0,ddr5,6000.0,geforce rtx 5070,12.0,1024.0,amd b650,650.0,Хорошая,https://www.dns-shop.ru/product/44e41081b543d582/pk-ardor-gaming-rage-h436/,35.5
60799,без ос,yes,intel core i3-12100f,4.0,4300.0,lga 1700,16.0,ddr4,3200.0,geforce gtx 1650,4.0,500.0,intel h610,500.0,Хорошая,https://www.dns-shop.ru/product/5b8f00a276f0ed20/pk-ardor-gaming-neo-m144/,22.25
179999,без ос,yes,amd ryzen 5 7500f,6.0,5000.0,am5,32.0,ddr5,6000.0,geforce rtx 5070,12.0,2048.0,amd b650,650.0,Хорошая,https://www.dns-shop.ru/product/d149d7c49f2dd9cb/pk-ardor-gaming-rage-h433/,35.5
137499,без ос,yes,amd ryzen 5 7500f,6.0,5000.0,am5,32.0,ddr5,6000.0,geforce rtx 5060,8.0,1024.0,amd b650,650.0,Нормальная,https://www.dns-shop.ru/product/fdb7efa78f8ed9cb/pk-ardor-gaming-rage-h426/,34.4
63399,macos,yes,apple m4,10.0,0.0,unknown,16.0,lpddr5x,0.0,apple m4 10-core,0.0,256.0,soc,155.0,Нормальная,https://www.dns-shop.ru/product/7646600a9823d21a/mini-pk-apple-mac-mini-m4-mu9d3/,15.2
49999,без ос,yes,intel core i5-12400,6.0,4400.0,lga 1700,16.0,ddr4,3200.0,intel uhd graphics 730,0.0,512.0,intel h610,350.0,Нормальная,https://www.dns-shop.ru/product/4cc08ecf7bf6d9cb/pk-dexp-aquilon-o347/,19.0
150999,без ос,yes,amd ryzen 5 7500f,6.0,5000.0,am5,32.0,ddr5,6000.0,geforce rtx 5060 ti,16.0,1024.0,amd b650,650.0,Нормальная,https://www.dns-shop.ru/product/224c6f62bb7ed9cb/pk-ardor-gaming-rage-h441/,34.7
78999,без ос,yes,intel core i5-12400f,6.0,4400.0,lga 1700,16.0,ddr4,3200.0,geforce rtx 3050,8.0,1024.0,intel h610,500.0,Хорошая,https://www.dns-shop.ru/product/03f88fbed7d5d582/pk-ardor-gaming-neo-m163/,25.7
131499,без ос,yes,intel core i5-12400f,6.0,4400.0,lga 1700,32.0,ddr5,6000.0,geforce rtx 5060,8.0,1024.0,intel b760,650.0,Нормальная,https://www.dns-shop.ru/product/6c968a8b799cd9cb/pk-ardor-gaming-rage-h417/,32.7
228999,без ос,yes,amd ryzen 7 7700,8.0,5300.0,am5,32.0,ddr5,6000.0,geforce rtx 5070 ti,16.0,2048.0,amd b650,850.0,Нормальная,https://www.dns-shop.ru/product/7407fda0b544d582/pk-ardor-gaming-rage-h437/,37.7
73299,без ос,yes,intel core i5-12400f,6.0,4400.0,lga 1700,16.0,ddr4,3200.0,geforce rtx 3050,8.0,1024.0,intel h610,500.0,Хорошая,https://www.dns-shop.ru/product/1cfce5338f78d21a/pk-ardor-gaming-neo-m159/,25.7
157999,без ос,yes,amd ryzen 5 7500f,6.0,5000.0,am5,32.0,ddr5,6000.0,geforce rtx 5070,12.0,1024.0,amd b650,650.0,Хорошая,https://www.dns-shop.ru/product/143fd794cb56d582/pk-ardor-gaming-rage-h453/,35.5
75499,без ос,yes,intel core i7-12700,12.0,4900.0,lga 1700,16.0,ddr5,5200.0,intel uhd graphics 770,0.0,1024.0,intel b760,500.0,Хорошая,https://www.dns-shop.ru/product/2f755b8b5e2dd582/pk-dexp-atlas-h551/,25.5
34799,без ос,yes,intel core i3-12100,4.0,4300.0,lga 1700,8.0,ddr4,3200.0,intel uhd graphics 730,0.0,256.0,intel h610,350.0,Хорошая,https://www.dns-shop.ru/product/a5cd841486d3d9cb/pk-dexp-aquilon-o348/,17.0
114999,windows 11 pro,yes,intel core i9-12900h,14.0,5000.0,bga 1744,32.0,ddr5,4800.0,geforce rtx 4060 для ноутбуков,8.0,1024.0,soc,300.0,Хорошая,https://www.dns-shop.ru/product/666f48c3964e9a05/mini-pk-ardor-gaming-cyber-cube/,32.2
45799,без ос,yes,intel core i3-12100,4.0,4300.0,lga 1700,16.0,ddr4,0.0,intel uhd graphics 730,0.0,512.0,intel h610,500.0,Хорошая,https://www.dns-shop.ru/product/53d49ce5a18bd9cb/pk-dexp-atlas-h489/,19.3
